,#,"产品名称
Product Name","产品名称(EN)
Product Name","产品型号
Model Name","SKU/产品码
SKU/Product Code","序列号前缀
Serial Number(SN) Prefix","产品ID (SaaS)
Product ID",UPC,产品类型,"重量（千克）
Weight (kg)","体积（立方米）
Volume (cu.m)","长（厘米）
Length (cm)","宽（厘米）
Width (cm)","深度（厘米）
Depth (cm)","是否为危险品？
Dangerous Goods?","备注
Notes",,,,,,,,,,,,,,,,,,,
,电影摄影机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,EF 3 转接卡口 带电子ND,EF 3 Mounting Adapter w/ e-ND,EFC32,A230-003-01,EF3_3,9-210-003-01,6153050068064,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,EF 3 转接卡口组合,EF Adapter 3 Combo,-,A923-001-01,-,P-200-000-01,6153049395300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,PL转接卡口,PL Mounting Adapter II,PLA30,A230-004-01,PL3_1,9-210-004-01,6153051128101,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,PL 转接卡口 带电子ND,PL Mounting Adapter II w/ e-ND,PLA31,A230-005-01,PL3_2,9-210-005-01,6153053944976,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,PL转接卡口组合,PL Adapter II Combo,-,A923-002-01,-,P-210-004-01,6153050289230,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,LPL 转接卡口,LPL Mounting Adapter,LPL30,A230-006-01,LPL3_1,9-210-015-01,6153054127163,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,E 转接卡口,E Mounting Adapter,PSE30,A230-007-01,SE3_1,9-210-016-01,6153052723732,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,原生PL卡口,Active PL Mount,PLA40,A240-004-01,PL4_1,9-240-004-01,6153052377393,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,电子E卡口,Active E Mount,ACE40,A240-007-01,SE4_1,9-240-007-01,6153052294270,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,原生LPL卡口,Active LPL Mount,LPL40,A240-006-01,LPL4_1,9-240-006-01,,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,存储,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,KineMAG Nano 1TB存储卡,KineMAG Nano 1TB,MAG31,A330-001-01,MAG3_1,9-310-011-01,6153057841837,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,KineMAG Nano 2TB存储卡,KineMAG Nano 2TB,MAG32,A330-002-01,MAG3_2,9-310-013-01,6153055764756,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,KineMAG Nano卡体,KineMAG Nano Body,MAGB1,A330-003-01,MAGB_1,9-310-012-01,6153050391322,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,KineMAG Nano盒子,KineMAG Nano Case,-,A633-501-01,-,9-310-510-01,6153053298222,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
